model,train_topic,test_topic,Z,A,total,sound,clear
gemini-2.0-flash,Immigration,Climate Change,2.87,2.39,209,6,5
gemini-2.0-pro-exp-02-05,Immigration,Climate Change,24.0,20.0,25,6,5
gemini-1.5-pro-latest,Immigration,Climate Change,35.48,32.26,31,11,10
gpt-4o-2024-08-06,Immigration,Climate Change,36.0,34.0,50,18,17
o3-mini-2025-01-31,Immigration,Climate Change,51.22,47.56,82,42,39
o1-2024-12-17,Immigration,Climate Change,76.47,75.0,68,52,51
